Número de Pedido	ID del Cliente	Tipo de Compra	SKU	Categoría de Descuento	Ingresos	Unidades	Costo del Producto	Costo de Envio	Costo Empaque	Fecha de Pedido	Fecha de Envio	Fecha de Llegada	País	Ciudad
98093497	536970848	"Normal"	"CB01"	"Non"	222,03	1	7,25	3,25	3	2000-07-17 00:00:00.000	2000-07-19 00:00:00.000	2000-07-28 00:00:00.000	"Ecuador"	"Quito"
98093231	870227408	"Normal"	"CB01"	"Non"	222,03	1	9,75	3,75	3	2000-09-28 00:00:00.000	2000-09-29 00:00:00.000	2000-10-12 00:00:00.000	"Perú"	"Lima"
98093110	685203305	"Normal"	"CB01"	"Non"	222,03	1	8,73	6,73	3	2000-10-30 00:00:00.000	2000-11-01 00:00:00.000	2000-11-14 00:00:00.000	"Venezuela"	"Caracas"
98093021	838168914	"Normal"	"CB01"	"Non"	222,03	1	5,86	4,86	3	2000-11-27 00:00:00.000	2000-11-28 00:00:00.000	2000-12-17 00:00:00.000	"Ecuador"	"Quito"
98093013	353597252	"Normal"	"CB01"	"Non"	222,03	1	5,55	6,55	3	2000-11-29 00:00:00.000	2000-11-30 00:00:00.000	2000-12-13 00:00:00.000	"Paraguay"	"Asunción"
98092960	337782119	"Normal"	"CB01"	"Non"	222,03	1	6,99	4,99	3	2000-12-12 00:00:00.000	2000-12-15 00:00:00.000	2000-12-22 00:00:00.000	"Argentina"	"Rosario"
98092756	783214027	"Normal"	"CB01"	"Non"	222,03	1	6	5	3	2001-02-09 00:00:00.000	2001-02-12 00:00:00.000	2001-03-03 00:00:00.000	"Brasil"	"Rio"
98092716	340379512	"Normal"	"CB01"	"Non"	222,03	1	6,68	6,68	3	2001-02-21 00:00:00.000	2001-02-24 00:00:00.000	2001-03-07 00:00:00.000	"Uruguay"	"Montevideo"
98092642	667298873	"Normal"	"CB01"	"Non"	222,03	1	7,9	4,9	3	2001-03-14 00:00:00.000	2001-03-15 00:00:00.000	2001-03-25 00:00:00.000	"Chile"	"Viña del Mar"
98092507	295769990	"Normal"	"CB01"	"Non"	222,03	1	5,25	3,25	3	2001-04-21 00:00:00.000	2001-04-22 00:00:00.000	2001-05-01 00:00:00.000	"Paraguay"	"Asunción"
98092477	181452465	"Normal"	"CB01"	"Non"	222,03	1	9,25	4,25	3	2001-04-25 00:00:00.000	2001-04-28 00:00:00.000	2001-05-09 00:00:00.000	"Colombia"	"Medellín"
98092213	664948076	"Normal"	"CB01"	"Non"	222,03	1	9,22	6,22	3	2001-07-08 00:00:00.000	2001-07-10 00:00:00.000	2001-07-28 00:00:00.000	"Venezuela"	"Caracas"
98092091	819761666	"Normal"	"CB01"	"Non"	222,03	1	6,14	5,14	3	2001-08-16 00:00:00.000	2001-08-19 00:00:00.000	2001-09-07 00:00:00.000	"Brasil"	"Rio"
98091800	193322802	"Normal"	"CB01"	"Non"	222,03	1	7	3	3	2001-11-15 00:00:00.000	2001-11-18 00:00:00.000	2001-12-02 00:00:00.000	"Venezuela"	"Caracas"
98091585	728304917	"Normal"	"CB01"	"Non"	222,03	1	8,65	3,65	3	2002-01-09 00:00:00.000	2002-01-10 00:00:00.000	2002-01-21 00:00:00.000	"Chile"	"Viña del Mar"
98091463	272385252	"Normal"	"CB01"	"Non"	222,03	1	5,58	3,58	3	2002-02-07 00:00:00.000	2002-02-09 00:00:00.000	2002-02-27 00:00:00.000	"Colombia"	"Medellín"
98091271	229898861	"Normal"	"CB01"	"Non"	222,03	1	9,99	6,99	3	2002-03-24 00:00:00.000	2002-03-25 00:00:00.000	2002-04-13 00:00:00.000	"Chile"	"Viña del Mar"
98091264	667298873	"Normal"	"CB01"	"Non"	222,03	1	6,89	3,89	3	2002-03-25 00:00:00.000	2002-03-28 00:00:00.000	2002-04-07 00:00:00.000	"Ecuador"	"Quito"
98091182	838168914	"Normal"	"CB01"	"Non"	222,03	1	9,75	4,75	3	2002-04-15 00:00:00.000	2002-04-17 00:00:00.000	2002-05-02 00:00:00.000	"Paraguay"	"Asunción"
98091175	561944200	"Normal"	"CB01"	"Non"	222,03	1	5,12	3,12	3	2002-04-18 00:00:00.000	2002-04-20 00:00:00.000	2002-05-08 00:00:00.000	"Ecuador"	"Quito"
98090975	481472777	"Normal"	"CB01"	"Non"	222,03	1	7,1	3,1	3	2002-06-08 00:00:00.000	2002-06-11 00:00:00.000	2002-06-26 00:00:00.000	"Argentina"	"Rosario"
98090780	145148150	"Normal"	"CB01"	"Non"	222,03	1	6,22	6,22	3	2002-08-07 00:00:00.000	2002-08-08 00:00:00.000	2002-08-25 00:00:00.000	"Paraguay"	"Asunción"
98090504	427542511	"Normal"	"CB01"	"Non"	222,03	1	8,99	4,99	3	2002-10-20 00:00:00.000	2002-10-22 00:00:00.000	2002-11-04 00:00:00.000	"Venezuela"	"Caracas"
98090481	379587534	"Normal"	"CB01"	"Non"	222,03	1	9,25	5,25	3	2002-10-25 00:00:00.000	2002-10-27 00:00:00.000	2002-11-09 00:00:00.000	"Argentina"	"Rosario"
98090468	487583305	"Normal"	"CB01"	"Non"	222,03	1	9,9	5,9	3	2002-10-30 00:00:00.000	2002-11-02 00:00:00.000	2002-11-17 00:00:00.000	"Uruguay"	"Montevideo"
98090439	841860903	"Normal"	"CB01"	"Non"	222,03	1	7,14	4,14	3	2002-11-07 00:00:00.000	2002-11-10 00:00:00.000	2002-11-19 00:00:00.000	"Paraguay"	"Asunción"
98090436	551050943	"Normal"	"CB01"	"Non"	222,03	1	9,2	6,2	3	2002-11-11 00:00:00.000	2002-11-12 00:00:00.000	2002-11-22 00:00:00.000	"Colombia"	"Medellín"
98090432	416232977	"Normal"	"CB01"	"Non"	222,03	1	9,99	4,99	3	2002-11-11 00:00:00.000	2002-11-13 00:00:00.000	2002-12-01 00:00:00.000	"Argentina"	"Rosario"
98090208	140565407	"Normal"	"CB01"	"Non"	222,03	1	5,89	5,89	3	2003-01-13 00:00:00.000	2003-01-16 00:00:00.000	2003-01-28 00:00:00.000	"Paraguay"	"Asunción"
98089670	781084228	"Normal"	"CB01"	"Non"	222,03	1	6,75	5,75	3	2003-06-13 00:00:00.000	2003-06-14 00:00:00.000	2003-07-03 00:00:00.000	"Uruguay"	"Montevideo"
98089387	695668764	"Normal"	"CB01"	"Non"	222,03	1	6,58	6,58	3	2003-08-29 00:00:00.000	2003-08-30 00:00:00.000	2003-09-09 00:00:00.000	"Argentina"	"Rosario"
98089098	675665654	"Normal"	"CB01"	"Non"	222,03	1	7,12	3,12	3	2003-11-10 00:00:00.000	2003-11-12 00:00:00.000	2003-11-21 00:00:00.000	"Chile"	"Viña del Mar"
98089037	269213857	"Normal"	"CB01"	"Non"	222,03	1	6,12	4,12	3	2003-11-30 00:00:00.000	2003-12-01 00:00:00.000	2003-12-16 00:00:00.000	"Perú"	"Lima"
98089007	356712807	"Normal"	"CB01"	"Non"	222,03	1	7,45	6,45	3	2003-12-05 00:00:00.000	2003-12-08 00:00:00.000	2003-12-16 00:00:00.000	"Colombia"	"Medellín"
98088735	197732829	"Normal"	"CB01"	"Non"	222,03	1	8,86	6,86	3	2004-02-16 00:00:00.000	2004-02-17 00:00:00.000	2004-02-24 00:00:00.000	"Argentina"	"Rosario"
98088679	229898861	"Normal"	"CB01"	"Non"	222,03	1	5,22	4,22	3	2004-03-01 00:00:00.000	2004-03-04 00:00:00.000	2004-03-14 00:00:00.000	"Uruguay"	"Montevideo"
98088522	676480421	"Normal"	"CB01"	"Non"	222,03	1	7	4	3	2004-04-09 00:00:00.000	2004-04-11 00:00:00.000	2004-04-21 00:00:00.000	"Venezuela"	"Caracas"
98088364	618976416	"Normal"	"CB01"	"Non"	222,03	1	5,25	6,25	3	2004-05-28 00:00:00.000	2004-05-30 00:00:00.000	2004-06-19 00:00:00.000	"Chile"	"Viña del Mar"
98088292	664948076	"Normal"	"CB01"	"Non"	222,03	1	7,58	5,58	3	2004-06-17 00:00:00.000	2004-06-18 00:00:00.000	2004-06-29 00:00:00.000	"Venezuela"	"Caracas"
98088182	549059705	"Normal"	"CB01"	"Non"	222,03	1	8,65	5,65	3	2004-07-16 00:00:00.000	2004-07-19 00:00:00.000	2004-08-04 00:00:00.000	"Ecuador"	"Quito"
98088153	529333105	"Normal"	"CB01"	"Non"	222,03	1	9,99	4,99	3	2004-07-28 00:00:00.000	2004-07-29 00:00:00.000	2004-08-11 00:00:00.000	"Argentina"	"Rosario"
98088125	270034059	"Normal"	"CB01"	"Non"	222,03	1	9,99	4,99	3	2004-08-05 00:00:00.000	2004-08-06 00:00:00.000	2004-08-15 00:00:00.000	"Chile"	"Viña del Mar"
98087913	890670789	"Normal"	"CB01"	"Non"	222,03	1	9,89	5,89	3	2004-09-30 00:00:00.000	2004-10-02 00:00:00.000	2004-10-22 00:00:00.000	"Colombia"	"Medellín"
98087911	777931056	"Normal"	"CB01"	"Non"	222,03	1	9,68	3,68	3	2004-10-02 00:00:00.000	2004-10-03 00:00:00.000	2004-10-19 00:00:00.000	"Paraguay"	"Asunción"
98087840	648402267	"Normal"	"CB01"	"Non"	222,03	1	9,12	4,12	3	2004-10-28 00:00:00.000	2004-10-30 00:00:00.000	2004-11-11 00:00:00.000	"Perú"	"Lima"
98087705	316425048	"Normal"	"CB01"	"Non"	222,03	1	8,22	5,22	3	2004-12-05 00:00:00.000	2004-12-06 00:00:00.000	2004-12-23 00:00:00.000	"Argentina"	"Rosario"
98087683	453512131	"Normal"	"CB01"	"Non"	222,03	1	8,1	6,1	3	2004-12-11 00:00:00.000	2004-12-12 00:00:00.000	2004-12-23 00:00:00.000	"Colombia"	"Medellín"
98087664	862543364	"Normal"	"CB01"	"Non"	222,03	1	5,58	3,58	3	2004-12-14 00:00:00.000	2004-12-15 00:00:00.000	2004-12-24 00:00:00.000	"Paraguay"	"Asunción"
98087427	898039697	"Normal"	"CB01"	"Non"	222,03	1	8,99	6,99	3	2005-02-17 00:00:00.000	2005-02-18 00:00:00.000	2005-03-10 00:00:00.000	"Uruguay"	"Montevideo"
98087398	768841972	"Normal"	"CB01"	"Non"	222,03	1	8,14	3,14	3	2005-02-24 00:00:00.000	2005-02-27 00:00:00.000	2005-03-11 00:00:00.000	"Venezuela"	"Caracas"
98087220	890670789	"Normal"	"CB01"	"Non"	222,03	1	8,55	6,55	3	2005-04-14 00:00:00.000	2005-04-15 00:00:00.000	2005-05-01 00:00:00.000	"Chile"	"Viña del Mar"
98087188	283730095	"Normal"	"CB01"	"Non"	222,03	1	8,14	4,14	3	2005-04-22 00:00:00.000	2005-04-24 00:00:00.000	2005-05-07 00:00:00.000	"Perú"	"Lima"
98087172	514668821	"Normal"	"CB01"	"Non"	222,03	1	8,75	4,75	3	2005-04-27 00:00:00.000	2005-04-29 00:00:00.000	2005-05-12 00:00:00.000	"Chile"	"Viña del Mar"
98087151	555364119	"Normal"	"CB01"	"Non"	222,03	1	8,22	3,22	3	2005-04-30 00:00:00.000	2005-05-03 00:00:00.000	2005-05-18 00:00:00.000	"Perú"	"Lima"
98087133	685203305	"Normal"	"CB01"	"Non"	222,03	1	9,36	6,36	3	2005-05-06 00:00:00.000	2005-05-09 00:00:00.000	2005-05-16 00:00:00.000	"Brasil"	"Rio"
98087098	685203305	"Normal"	"CB01"	"Non"	222,03	1	6,73	5,73	3	2005-05-18 00:00:00.000	2005-05-20 00:00:00.000	2005-06-06 00:00:00.000	"Chile"	"Viña del Mar"
98087075	448449579	"Normal"	"CB01"	"Non"	222,03	1	8,33	5,33	3	2005-05-25 00:00:00.000	2005-05-26 00:00:00.000	2005-06-11 00:00:00.000	"Argentina"	"Rosario"
98087045	404435455	"Normal"	"CB01"	"Non"	222,03	1	9,65	6,65	3	2005-06-04 00:00:00.000	2005-06-05 00:00:00.000	2005-06-25 00:00:00.000	"Colombia"	"Medellín"
98087023	305002580	"Normal"	"CB01"	"Non"	222,03	1	9,84	6,84	3	2005-06-11 00:00:00.000	2005-06-12 00:00:00.000	2005-07-02 00:00:00.000	"Perú"	"Lima"
98087006	598384221	"Normal"	"CB01"	"Non"	222,03	1	8,99	4,99	3	2005-06-14 00:00:00.000	2005-06-16 00:00:00.000	2005-07-03 00:00:00.000	"Colombia"	"Medellín"
98086995	275323921	"Normal"	"CB01"	"Non"	222,03	1	8,99	6,99	3	2005-06-17 00:00:00.000	2005-06-19 00:00:00.000	2005-07-03 00:00:00.000	"Paraguay"	"Asunción"
98086968	454188032	"Normal"	"CB01"	"Non"	222,03	1	7,65	3,65	3	2005-06-25 00:00:00.000	2005-06-28 00:00:00.000	2005-07-13 00:00:00.000	"Venezuela"	"Caracas"
98086942	845554615	"Normal"	"CB01"	"Non"	222,03	1	5,55	5,55	3	2005-07-03 00:00:00.000	2005-07-06 00:00:00.000	2005-07-17 00:00:00.000	"Perú"	"Lima"
98086880	436608095	"Normal"	"CB01"	"Non"	222,03	1	5,99	4,99	3	2005-07-19 00:00:00.000	2005-07-20 00:00:00.000	2005-07-29 00:00:00.000	"Venezuela"	"Caracas"
98086881	680594379	"Normal"	"CB01"	"Non"	222,03	1	10	7	3	2005-07-19 00:00:00.000	2005-07-20 00:00:00.000	2005-07-31 00:00:00.000	"Venezuela"	"Caracas"
98086830	225237308	"Normal"	"CB01"	"Non"	222,03	1	6,1	4,1	3	2005-08-01 00:00:00.000	2005-08-02 00:00:00.000	2005-08-21 00:00:00.000	"Paraguay"	"Asunción"
98086813	272385252	"Normal"	"CB01"	"Non"	222,03	1	7,61	4,61	3	2005-08-04 00:00:00.000	2005-08-07 00:00:00.000	2005-08-20 00:00:00.000	"Venezuela"	"Caracas"
98086810	684389929	"Normal"	"CB01"	"Non"	222,03	1	5,61	3,61	3	2005-08-06 00:00:00.000	2005-08-08 00:00:00.000	2005-08-19 00:00:00.000	"Argentina"	"Rosario"
98086790	347508755	"Normal"	"CB01"	"Non"	222,03	1	6	6	3	2005-08-11 00:00:00.000	2005-08-14 00:00:00.000	2005-08-21 00:00:00.000	"Perú"	"Lima"
98086749	523605849	"Normal"	"CB01"	"Non"	222,03	1	7,12	6,12	3	2005-08-27 00:00:00.000	2005-08-28 00:00:00.000	2005-09-09 00:00:00.000	"Uruguay"	"Montevideo"
98086633	378428659	"Normal"	"CB01"	"Non"	222,03	1	6,55	4,55	3	2005-09-28 00:00:00.000	2005-09-30 00:00:00.000	2005-10-15 00:00:00.000	"Perú"	"Lima"
98086563	414997525	"Normal"	"CB01"	"Non"	222,03	1	5,68	4,68	3	2005-10-17 00:00:00.000	2005-10-20 00:00:00.000	2005-10-28 00:00:00.000	"Colombia"	"Medellín"
98086526	220834258	"Normal"	"CB01"	"Non"	222,03	1	8,1	5,1	3	2005-10-24 00:00:00.000	2005-10-27 00:00:00.000	2005-11-09 00:00:00.000	"Colombia"	"Medellín"
98086527	305002580	"Normal"	"CB01"	"Non"	222,03	1	6	5	3	2005-10-26 00:00:00.000	2005-10-27 00:00:00.000	2005-11-07 00:00:00.000	"Venezuela"	"Caracas"
98086458	140565407	"Normal"	"CB01"	"Non"	222,03	1	9,25	5,25	3	2005-11-14 00:00:00.000	2005-11-15 00:00:00.000	2005-12-01 00:00:00.000	"Paraguay"	"Asunción"
98086452	543794562	"Normal"	"CB01"	"Non"	222,03	1	9	4	3	2005-11-15 00:00:00.000	2005-11-16 00:00:00.000	2005-11-27 00:00:00.000	"Uruguay"	"Montevideo"
98086398	748580804	"Normal"	"CB01"	"Non"	222,03	1	7,22	6,22	3	2005-11-25 00:00:00.000	2005-11-28 00:00:00.000	2005-12-06 00:00:00.000	"Colombia"	"Medellín"
98086337	898039697	"Normal"	"CB01"	"Non"	222,03	1	6,73	3,73	3	2005-12-13 00:00:00.000	2005-12-15 00:00:00.000	2005-12-29 00:00:00.000	"Paraguay"	"Asunción"
98086287	695668764	"Normal"	"CB01"	"Non"	222,03	1	7	7	3	2005-12-26 00:00:00.000	2005-12-29 00:00:00.000	2006-01-16 00:00:00.000	"Colombia"	"Medellín"
98086198	565333786	"Normal"	"CB01"	"Non"	222,03	1	6,55	4,55	3	2006-01-21 00:00:00.000	2006-01-23 00:00:00.000	2006-02-09 00:00:00.000	"Paraguay"	"Asunción"
98086186	405991354	"Normal"	"CB01"	"Non"	222,03	1	7,65	5,65	3	2006-01-23 00:00:00.000	2006-01-25 00:00:00.000	2006-02-05 00:00:00.000	"Brasil"	"Rio"
98086159	249798097	"Normal"	"CB01"	"Non"	222,03	1	6,65	6,65	3	2006-01-30 00:00:00.000	2006-01-31 00:00:00.000	2006-02-16 00:00:00.000	"Argentina"	"Rosario"
98085930	674406500	"Normal"	"CB01"	"Non"	222,03	1	6,88	4,88	3	2006-04-07 00:00:00.000	2006-04-10 00:00:00.000	2006-04-18 00:00:00.000	"Paraguay"	"Asunción"
98085878	293195079	"Normal"	"CB01"	"Non"	222,03	1	5,22	5,22	3	2006-04-25 00:00:00.000	2006-04-26 00:00:00.000	2006-05-15 00:00:00.000	"Venezuela"	"Caracas"
98085861	309017972	"Normal"	"CB01"	"Non"	222,03	1	5,58	4,58	3	2006-04-27 00:00:00.000	2006-04-29 00:00:00.000	2006-05-15 00:00:00.000	"Brasil"	"Rio"
98085824	194622983	"Normal"	"CB01"	"Non"	222,03	1	6,99	5,99	3	2006-05-06 00:00:00.000	2006-05-08 00:00:00.000	2006-05-17 00:00:00.000	"Perú"	"Lima"
98085813	111962928	"Normal"	"CB01"	"Non"	222,03	1	8,55	4,55	3	2006-05-10 00:00:00.000	2006-05-12 00:00:00.000	2006-05-26 00:00:00.000	"Paraguay"	"Asunción"
98085747	398947841	"Normal"	"CB01"	"Non"	222,03	1	6,75	4,75	3	2006-05-28 00:00:00.000	2006-05-30 00:00:00.000	2006-06-14 00:00:00.000	"Venezuela"	"Caracas"
98085695	579052388	"Normal"	"CB01"	"Non"	222,03	1	5,33	3,33	3	2006-06-11 00:00:00.000	2006-06-12 00:00:00.000	2006-06-20 00:00:00.000	"Venezuela"	"Caracas"
98085595	541065853	"Normal"	"CB01"	"Non"	222,03	1	5,45	3,45	3	2006-07-11 00:00:00.000	2006-07-12 00:00:00.000	2006-08-01 00:00:00.000	"Paraguay"	"Asunción"
98085589	404435455	"Normal"	"CB01"	"Non"	222,03	1	7,58	5,58	3	2006-07-11 00:00:00.000	2006-07-13 00:00:00.000	2006-07-22 00:00:00.000	"Perú"	"Lima"
98085510	413610234	"Normal"	"CB01"	"Non"	222,03	1	5,25	4,25	3	2006-08-04 00:00:00.000	2006-08-05 00:00:00.000	2006-08-17 00:00:00.000	"Argentina"	"Rosario"
98085387	541065853	"Normal"	"CB01"	"Non"	222,03	1	7,88	4,88	3	2006-08-31 00:00:00.000	2006-09-02 00:00:00.000	2006-09-12 00:00:00.000	"Colombia"	"Medellín"
98085389	217065938	"Normal"	"CB01"	"Non"	222,03	1	6,99	6,99	3	2006-09-01 00:00:00.000	2006-09-02 00:00:00.000	2006-09-09 00:00:00.000	"Ecuador"	"Quito"
98085268	145148150	"Normal"	"CB01"	"Non"	222,03	1	9,9	5,9	3	2006-09-29 00:00:00.000	2006-10-02 00:00:00.000	2006-10-14 00:00:00.000	"Ecuador"	"Quito"
98085062	535619292	"Normal"	"CB01"	"Non"	222,03	1	5,45	4,45	3	2006-11-22 00:00:00.000	2006-11-25 00:00:00.000	2006-12-15 00:00:00.000	"Ecuador"	"Quito"
98085030	361586823	"Normal"	"CB01"	"Non"	222,03	1	9,12	6,12	3	2006-11-30 00:00:00.000	2006-12-01 00:00:00.000	2006-12-08 00:00:00.000	"Paraguay"	"Asunción"
98084853	768841972	"Normal"	"CB01"	"Non"	222,03	1	6,25	3,25	3	2007-01-18 00:00:00.000	2007-01-19 00:00:00.000	2007-01-31 00:00:00.000	"Uruguay"	"Montevideo"
98084760	582922821	"Normal"	"CB01"	"Non"	222,03	1	8,2	5,2	3	2007-02-11 00:00:00.000	2007-02-12 00:00:00.000	2007-03-01 00:00:00.000	"Uruguay"	"Montevideo"
98084750	288269706	"Normal"	"CB01"	"Non"	222,03	1	5,36	4,36	3	2007-02-10 00:00:00.000	2007-02-13 00:00:00.000	2007-02-23 00:00:00.000	"Ecuador"	"Quito"
98084694	200704420	"Normal"	"CB01"	"Non"	222,03	1	6,14	5,14	3	2007-02-23 00:00:00.000	2007-02-26 00:00:00.000	2007-03-05 00:00:00.000	"Paraguay"	"Asunción"
98084443	777931056	"Normal"	"CB01"	"Non"	222,03	1	9,75	4,75	3	2007-05-09 00:00:00.000	2007-05-12 00:00:00.000	2007-05-30 00:00:00.000	"Ecuador"	"Quito"
98084100	379587534	"Normal"	"CB01"	"Non"	222,03	1	7,58	5,58	3	2007-08-18 00:00:00.000	2007-08-19 00:00:00.000	2007-09-04 00:00:00.000	"Chile"	"Viña del Mar"
98084029	333427984	"Normal"	"CB01"	"Non"	222,03	1	8,22	3,22	3	2007-09-03 00:00:00.000	2007-09-05 00:00:00.000	2007-09-18 00:00:00.000	"Venezuela"	"Caracas"
98083980	225237308	"Normal"	"CB01"	"Non"	222,03	1	9,58	3,58	3	2007-09-16 00:00:00.000	2007-09-18 00:00:00.000	2007-09-25 00:00:00.000	"Brasil"	"Rio"
98083971	172950136	"Normal"	"CB01"	"Non"	222,03	1	5,33	6,33	3	2007-09-19 00:00:00.000	2007-09-21 00:00:00.000	2007-10-10 00:00:00.000	"Perú"	"Lima"
98083949	870227408	"Normal"	"CB01"	"Non"	222,03	1	7,65	4,65	3	2007-09-23 00:00:00.000	2007-09-25 00:00:00.000	2007-10-04 00:00:00.000	"Colombia"	"Medellín"
98083870	305002580	"Normal"	"CB01"	"Non"	222,03	1	9,68	4,68	3	2007-10-18 00:00:00.000	2007-10-21 00:00:00.000	2007-11-03 00:00:00.000	"Colombia"	"Medellín"
98083650	481472777	"Normal"	"CB01"	"Non"	222,03	1	8,65	3,65	3	2007-12-11 00:00:00.000	2007-12-13 00:00:00.000	2007-12-28 00:00:00.000	"Chile"	"Viña del Mar"
98083599	549442190	"Normal"	"CB01"	"Non"	222,03	1	8	7	3	2007-12-27 00:00:00.000	2007-12-30 00:00:00.000	2008-01-14 00:00:00.000	"Ecuador"	"Quito"
98083514	193322802	"Normal"	"CB01"	"Non"	222,03	1	5,75	5,75	3	2008-01-21 00:00:00.000	2008-01-24 00:00:00.000	2008-02-09 00:00:00.000	"Chile"	"Viña del Mar"
98083494	189635244	"Normal"	"CB01"	"Non"	222,03	1	5,12	5,12	3	2008-01-27 00:00:00.000	2008-01-30 00:00:00.000	2008-02-18 00:00:00.000	"Perú"	"Lima"
98083479	288269706	"Normal"	"CB01"	"Non"	222,03	1	5,99	4,99	3	2008-02-02 00:00:00.000	2008-02-05 00:00:00.000	2008-02-22 00:00:00.000	"Colombia"	"Medellín"
98083297	309017972	"Normal"	"CB01"	"Non"	222,03	1	7,33	3,33	3	2008-03-26 00:00:00.000	2008-03-27 00:00:00.000	2008-04-13 00:00:00.000	"Perú"	"Lima"
98083257	512817841	"Normal"	"CB01"	"Non"	222,03	1	5,2	5,2	3	2008-04-01 00:00:00.000	2008-04-04 00:00:00.000	2008-04-21 00:00:00.000	"Argentina"	"Rosario"
98083010	568892827	"Normal"	"CB01"	"Non"	222,03	1	9,68	6,68	3	2008-06-07 00:00:00.000	2008-06-10 00:00:00.000	2008-06-17 00:00:00.000	"Argentina"	"Rosario"
98082980	139149235	"Normal"	"CB01"	"Non"	222,03	1	8,75	6,75	3	2008-06-15 00:00:00.000	2008-06-16 00:00:00.000	2008-07-05 00:00:00.000	"Perú"	"Lima"
98082857	677383648	"Normal"	"CB01"	"Non"	222,03	1	7,99	4,99	3	2008-07-19 00:00:00.000	2008-07-21 00:00:00.000	2008-08-10 00:00:00.000	"Perú"	"Lima"
98082847	870227408	"Normal"	"CB01"	"Non"	222,03	1	9,1	5,1	3	2008-07-20 00:00:00.000	2008-07-22 00:00:00.000	2008-08-08 00:00:00.000	"Venezuela"	"Caracas"
98082819	448635016	"Normal"	"CB01"	"Non"	222,03	1	6,99	6,99	3	2008-07-28 00:00:00.000	2008-07-30 00:00:00.000	2008-08-11 00:00:00.000	"Paraguay"	"Asunción"
98082752	316694393	"Normal"	"CB01"	"Non"	222,03	1	7,45	4,45	3	2008-08-18 00:00:00.000	2008-08-20 00:00:00.000	2008-09-09 00:00:00.000	"Venezuela"	"Caracas"
98082749	220834258	"Normal"	"CB01"	"Non"	222,03	1	8,68	5,68	3	2008-08-20 00:00:00.000	2008-08-22 00:00:00.000	2008-09-06 00:00:00.000	"Ecuador"	"Quito"
98082665	448449579	"Normal"	"CB01"	"Non"	222,03	1	7,45	6,45	3	2008-09-08 00:00:00.000	2008-09-11 00:00:00.000	2008-09-27 00:00:00.000	"Chile"	"Viña del Mar"
98082635	781084228	"Normal"	"CB01"	"Non"	222,03	1	5,99	4,99	3	2008-09-14 00:00:00.000	2008-09-17 00:00:00.000	2008-09-25 00:00:00.000	"Colombia"	"Medellín"
98082209	318601696	"Normal"	"CB01"	"Non"	222,03	1	8,2	4,2	3	2009-01-08 00:00:00.000	2009-01-09 00:00:00.000	2009-01-17 00:00:00.000	"Venezuela"	"Caracas"
98082125	741101105	"Normal"	"CB01"	"Non"	222,03	1	8,88	3,88	3	2009-01-29 00:00:00.000	2009-01-31 00:00:00.000	2009-02-17 00:00:00.000	"Ecuador"	"Quito"
